# Instalacao e Gerenciamento De Pacotes
[LPIC-1] Qual o comando completo do yum para instalar o pacote nmap? | yum install nmap;yum show nmap;yum remove nmap;yum search nmap;yum whatsprovides nmap
[LPIC-1] Qual comando atualiza o banco de dados do utilitário 'locate'? | updatedb;locate -u;find -u;slocate;dbupdate
[LPIC-1] Qual comando exibe o caminho completo de um comando executável? | which;whereis;whatis;locate;type
[LPIC-1] Qual comando mostra o tipo de arquivo (binário, texto, etc)? | file;type;whatis;ls -l;cat -t
[LPIC-1] Qual comando RPM instala um pacote somente se uma versão anterior já estiver instalada? | -Fvh;-ivh;-Uvh;-revh;-kvh
[LPIC-1] Qual arquivo contém a lista de diretórios onde o sistema busca por bibliotecas? | /etc/ld.so.conf;/etc/ld.so.cache;/etc/modules.conf;/etc/lib.path;/etc/bashrc
[LPIC-1] Qual comando do YUM exibe informações detalhadas sobre um pacote específico? | info;list;show;search;status
[LPIC-1] Qual utilitário Debian é usado para extrair a lista de arquivos de um .deb? | dpkg-deb;apt-cache;apt-extract;dpkg-query;debuild
[LPIC-1] No RPM, qual opção exibe informações sobre a versão e arquitetura de um pacote instalado? | -qi;-ql;-qc;-qd;-qf
[LPIC-1] Qual comando do APT-GET baixa apenas as listas de pacotes atualizadas dos servidores? | update;upgrade;dist-upgrade;install;check
[LPIC-1] Qual ferramenta permite gerenciar várias versões de um mesmo comando no Debian? | update-alternatives;version-manager;multi-bin;alt-cmd;select-version
[LPIC-1] Qual opção do RPM verifica a integridade de um arquivo pertencente a um pacote? | -Vf;-Va;-Vp;-Vl;-Vi
[LPIC-1] Qual arquivo armazena as assinaturas de chaves GPG para o APT? | /etc/apt/trusted.gpg;/etc/apt/sources.list;/etc/apt/apt.conf;/var/lib/apt/keyring;/etc/apt/keys
[LPIC-1] Qual comando do YUM é usado para listar os repositórios configurados? | repolist;list repos;show-repos;repoinfo;yum-config
[LPIC-1] Qual opção do dpkg remove apenas o binário, mantendo os arquivos de configuração? | -r;-P;-L;-s;-i
[LPIC-1] Qual comando mostra as bibliotecas que um programa tentará carregar ao iniciar? | ldd;ldconfig;lib-check;ls-libs;readelf
[LPIC-1] Qual comando RPM lista apenas os arquivos de configuração de um pacote? | -qc;-ql;-qd;-qi;-qf
[LPIC-1] No YUM, qual comando limpa todos os arquivos temporários e cabeçalhos? | clean all;clean cache;purge;remove all;flush
[LPIC-1] Qual comando do RPM exibe os scripts de pré e pós instalação de um pacote? | --scripts;-qs;--show-scripts;-qp;--metadata
[LPIC-1] Qual comando Debian busca por pacotes que contenham um termo no nome ou descrição? | apt-cache search;apt-get find;dpkg -S;apt-search;aptitude find
[LPIC-1] Qual comando recria o link simbólico para as bibliotecas compartilhadas? | ldconfig;ldd;lib-update;ln -s libs;ld.so
[LPIC-1] Qual opção do RPM é usada para ignorar dependências durante a instalação? | --nodeps;--force;--no-dependencies;--ignore;--skip-deps
[LPIC-1] Qual comando lista os pacotes instalados no sistema Debian? | dpkg -l;apt-list;dpkg -s;apt-get list;dpkg --show
[LPIC-1] Qual arquivo contém a configuração do cache de bibliotecas compartilhadas? | /etc/ld.so.cache;/etc/ld.so.conf;/var/cache/libs;/etc/lib64.conf;/lib/cache
[LPIC-1] Qual comando RPM lista a documentação de um pacote específico? | -qd;-ql;-qc;-qi;-qf
[LPIC-1] Qual utilitário converte um pacote RPM em um arquivo CPIO? | rpm2cpio;rpm-extract;cpio-convert;rpm2arc;pkg2cpio
[LPIC-1] Qual comando do APT remove o pacote e todas as configurações? | purge;remove;clean;delete;erase
[LPIC-1] Qual variável define diretórios extras para o linker procurar bibliotecas em runtime? | LD_LIBRARY_PATH;LIB_PATH;BIN_PATH;LD_PRELOAD;PATH
[LPIC-1] Qual comando RPM verifica todos os pacotes instalados? | -Va;-Vp;-Vf;-Vq;-Vl
[LPIC-1] Qual opção do apt-get resolve problemas de dependências quebradas? | -f;--fix;--repair;-d;--force
[LPIC-1] Qual comando RPM mostra o histórico de mudanças (changelog) de um pacote? | --changelog;-qc;-qi;-ql;-qd
[LPIC-1] Qual diretório do YUM contém os arquivos .repo individuais? | /etc/yum.repos.d/;/etc/yum/;/var/lib/yum/;/etc/repos.d/;/usr/etc/yum/
[LPIC-1] Qual comando Debian mostra se um pacote está instalado ou não? | dpkg -s;apt-cache status;apt-get check;dpkg -l;apt-info
[LPIC-1] Qual comando RPM desinstala um pacote? | -e;-r;-d;-u;-x
[LPIC-1] Qual comando do YUM é usado para verificar se existem atualizações disponíveis? | check-update;update-list;list-updates;show-updates;upgrade-check
[LPIC-1] Qual opção do RPM é usada para instalar um pacote sem atualizar a base de dados de banco de dados? | --justdb;--nodb;--skip-db;--no-records;--ignore-db
[LPIC-1] No Debian, qual comando limpa apenas os arquivos de pacotes que não podem mais ser baixados? | autoclean;clean;purge;remove;autoremove
[LPIC-1] Qual comando do RPM mostra os arquivos de configuração de um pacote .rpm não instalado? | -qpc;-qpl;-qpi;-qpd;--scripts
[LPIC-1] Qual utilitário é usado para encontrar binários, fontes e manuais de um comando? | whereis;which;whatis;locate;find
[LPIC-1] Qual arquivo contém a lista de diretórios de bibliotecas padrão (como /lib e /usr/lib)? | /etc/ld.so.conf;/etc/ld.so.cache;/etc/libs.conf;/etc/ld.path;/etc/shared.conf
[LPIC-1] Qual comando do YUM instala um grupo de pacotes (ex: "Development Tools")? | groupinstall;install-group;group-add;bundle-install;pkg-group
[LPIC-1] Qual opção do dpkg exibe o status de um pacote específico (se está instalado ou não)? | -s;-l;-L;-i;-C
[LPIC-1] Qual comando do RPM verifica a assinatura GPG de um arquivo de pacote? | -K;-V;-s;-p;--check-sig
[LPIC-1] Qual comando do APT-GET baixa o código-fonte de um pacote? | source;get-source;download-source;src;fetch-source
[LPIC-1] Qual utilitário do RPM é usado para construir pacotes a partir de arquivos spec? | rpmbuild;rpm-make;pkg-build;rpm-gen;rpm-spec
[LPIC-1] Qual comando do YUM exibe uma lista de todos os pacotes instalados e disponíveis? | list;show;all;info;inventory
[LPIC-1] No Debian, qual comando exibe as dependências reversas de um pacote (quem depende dele)? | apt-cache rdepends;apt-get rdepends;dpkg -R;apt-cache depends;apt-cache showpkg
[LPIC-1] Qual opção do RPM força a instalação de um pacote ignorando erros? | --force;--ignore;--skip;--overwrite;--no-errors
[LPIC-1] Qual comando atualiza o cache binário das bibliotecas (/etc/ld.so.cache)? | ldconfig;ldd;lib-update;ld-cache;refresh-libs
[LPIC-1] Qual comando do YUM remove um pacote mas mantém os arquivos de dados? | remove;erase;purge;clean;delete
[LPIC-1] No Debian, qual comando instala todas as dependências necessárias para compilar um pacote? | apt-get build-dep;apt-get source;apt-get install-dep;dpkg -b;apt-build
[LPIC-1] Qual opção do RPM lista apenas os arquivos de documentação (man pages, etc)? | -qd;-qc;-ql;-qi;-qf
[LPIC-1] Qual utilitário do APT é usado para gerenciar o arquivo sources.list via interface? | apt-setup;apt-config;apt-edit-sources;software-properties;apt-manage
[LPIC-1] Qual comando RPM exibe a lista de pacotes instalados recentemente? | rpm -qa --last;rpm -qa --recent;rpm -ql --date;rpm -qi --time;rpm -qa --new
[LPIC-1] Qual comando do YUM exibe quais pacotes pertencem a um repositório específico? | repoquery;yum list;yum info;yum-repo;yum-config-manager
[LPIC-1] Qual opção do dpkg instala todos os pacotes (.deb) encontrados em um diretório? | -R;--install-all;-i;-a;--batch
[LPIC-1] Qual comando do RPM extrai apenas os scripts de controle de um pacote? | --scripts;-qs;--show-scripts;-qp;--metadata
[LPIC-1] No YUM, qual comando desativa temporariamente um repositório durante a instalação? | --disablerepo;--no-repo;--skip-repo;--disable;--off-repo
[LPIC-1] Qual comando exibe uma descrição curta do que um comando faz (baseado no manual)? | whatis;whereis;which;locate;apropos
[LPIC-1] Qual arquivo o comando ldconfig lê para saber quais diretórios escanear? | /etc/ld.so.conf;/etc/ld.so.cache;/var/lib/ldconfig;/etc/libs.path;/etc/ld.conf
[LPIC-1] Qual opção do RPM atualiza um pacote apenas se ele já estiver instalado? | -F;-U;-i;-u;-v
[LPIC-1] Qual comando do APT-GET simula uma instalação sem alterar o sistema? | -s;--simulate;--dry-run;--test;-d
[LPIC-1] Qual comando do RPM exibe as capacidades (provides) que um pacote oferece? | --provides;-qp;--requires;--whatprovides;-qi
[LPIC-1] No Debian, qual comando exibe o histórico de logs do APT? | cat /var/log/apt/history.log;cat /var/log/dpkg.log;apt history;dpkg --log;apt-get log
[LPIC-1] Qual comando do YUM resolve dependências e instala pacotes locais (.rpm)? | localinstall;install;yum-local;rpm-install;pkg-install
[LPIC-1] Qual opção do RPM é usada para consultar informações de um pacote não instalado? | -qp;-q;-qi;-ql;-qf
[LPIC-1] Qual comando do APT-GET baixa o pacote mas não o instala? | -d;--download-only;--fetch;--get;-s
[LPIC-1] Qual comando do RPM verifica o proprietário de um arquivo binário? | -qf;-ql;-qc;-qi;-qd
[LPIC-1] Qual arquivo de configuração do APT define o comportamento padrão (ex: proxy)? | /etc/apt/apt.conf;/etc/apt/sources.list;/etc/apt/preferences;/var/lib/apt/config;/etc/apt/proxy.conf
[LPIC-1] Qual comando RPM mostra os requerimentos de sistema (bibliotecas/pacotes) de um .rpm? | -qR;--requires;-qpR;-ql;-qi
[LPIC-1] Qual utilitário converte pacotes entre Slackware, Stampede, Debian e RPM? | alien;convert;package-trans;rpm2cpio;deb2rpm
[LPIC-1] Qual comando do YUM lista todos os arquivos dentro de um pacote? | repoquery -l;yum list;yum info;yum-ls;yum-files
[LPIC-1] Qual opção do dpkg exibe o local onde um pacote está instalado? | -L;-l;-s;-i;-c
[LPIC-1] Qual comando RPM desinstala um pacote sem verificar dependências? | --nodeps;-e --nodeps;-e --force;--ignore-deps;-e --skip
