# Tópicos 106, 109 e 110 (Desktop, Redes e Segurança) 
[LPIC-1] Qual é o principal arquivo de configuração do servidor X.org (X11)? | /etc/X11/xorg.conf;/etc/x11.conf;/etc/X11/X.conf;/usr/X11/xorg.conf;/etc/X11/xorg.ini
[LPIC-1] Qual comando 'dig' busca especificamente pelo registro TXT de um domínio? | dig dominio.com TXT e dig -t TXT dominio.com;dig dominio.com TXT;dig -t TXT dominio.com;host -t TXT dominio.com;nslookup -q=txt dominio.com
[LPIC-1] Qual comando é usado para gerar um novo par de chaves (pública/privada) no GnuPG? | gpg --gen-key;gpg --create-key;gpg --new-key;gpg --make-key;gpg -k
[LPIC-1] Qual comando lista todas as chaves públicas presentes no seu chaveiro GnuPG? | gpg --list-keys e gpg -k;gpg --list-keys;gpg -k;gpg --show-keys;gpg -L
[LPIC-1] Qual comando do GnuPG é usado para criptografar um arquivo para um destinatário específico? | gpg -e -r usuario arquivo;gpg --encrypt;gpg -c;gpg -s;gpg -d
[LPIC-1] Qual comando é usado para descriptografar um arquivo recebido via GnuPG? | gpg -d arquivo.gpg e gpg --decrypt;gpg -d arquivo.gpg;gpg --decrypt;gpg -x;gpg -u
[LPIC-1] Qual utilitário é usado para gerar um par de chaves RSA/ED25519 para autenticação SSH sem senha? | ssh-keygen;ssh-add;ssh-agent;ssh-copy-id;ssh-keyscan
[LPIC-1] Qual comando transfere sua chave pública para o servidor remoto, permitindo o login sem senha? | ssh-copy-id;ssh-send-key;scp id_rsa.pub;cat id_rsa.pub;ssh
[LPIC-1] Qual arquivo no servidor remoto armazena as chaves públicas autorizadas a se conectar via SSH? | ~/.ssh/authorized_keys;~/.ssh/id_rsa.pub;/etc/ssh/keys;~/.ssh/known_hosts;/etc/authorized_keys
[LPIC-1] Qual arquivo no computador LOCAL armazena a "digital" (fingerprint) dos servidores SSH já visitados? | ~/.ssh/known_hosts;~/.ssh/authorized_keys;/etc/ssh/ssh_config;~/.ssh/config;/var/log/secure
[LPIC-1] Qual comando exibe os limites de recursos do sistema (como número de arquivos abertos) para o usuário atual? | ulimit;limit;sysctl;quota;setrlimit
[LPIC-1] Qual opção do 'ulimit' define o tamanho máximo de um arquivo que o usuário pode criar? | -f;-u;-n;-s;-c
[LPIC-1] Qual arquivo de configuração é usado para definir limites permanentes (soft e hard) para usuários e grupos? | /etc/security/limits.conf;/etc/profile;/etc/ulimit.conf;/etc/sysctl.conf;/etc/login.defs
[LPIC-1] No 'limits.conf', qual a diferença entre um limite 'Soft' e um 'Hard'? | Soft pode ser aumentado pelo usuário até o Hard;Hard é apenas para o root;Soft é um aviso;Não há diferença;Hard é temporário
[LPIC-1] Qual comando 'find' localiza arquivos com a permissão "World Writable" (escrita para todos)? | find / -perm -0002;find / -perm 777;find / -writable;find / -mode o+w;find / -user all
[LPIC-1] Qual comando desativa temporariamente o uso de senhas shadow? | pwunconv;pwconv;grpconv;shadow-off;passwd -d
[LPIC-1] Qual comando é usado para bloquear a conta de um usuário (colocando um ! na senha)? | usermod -L e passwd -l;usermod -L;passwd -l;userdel -l;lockuser
[LPIC-1] Qual arquivo define as configurações globais de expiração de senhas e faixas de UID/GID? | /etc/login.defs;/etc/default/useradd;/etc/shadow;/etc/passwd;/etc/security/pwquality.conf
[LPIC-1] Qual comando exibe informações detalhadas sobre a expiração da senha de um usuário (como 'jessica')? | chage -l jessica e passwd -S jessica;chage -l jessica;passwd -S jessica;user-status jessica;id jessica
[LPIC-1] Qual comando força um usuário a alterar sua senha no próximo login? | chage -d 0 usuario e passwd -e usuario;chage -d 0 usuario;passwd -e usuario;usermod -f 0 usuario;passwd -expire usuario
[LPIC-1] Qual diretório contém os arquivos de configuração do servidor SSH (sshd)? | /etc/ssh/;/etc/sshd/;/usr/lib/ssh/;/var/lib/ssh/;/etc/security/ssh/
[LPIC-1] Qual comando deve ser usado para recarregar as configurações após alterar o /etc/ssh/sshd_config? | systemctl reload sshd e service ssh restart;systemctl reload sshd;service ssh restart;sshd -t;killall -HUP sshd
[LPIC-1] Qual opção no 'sshd_config' impede que o usuário root faça login diretamente via rede? | PermitRootLogin no;DisableRoot yes;RootLogin off;NoRootLogin;IgnoreRoot
[LPIC-1] Qual comando permite ver as portas abertas e os processos associados (ajudando na auditoria de segurança)? | netstat -tulnp e ss -tulnp;netstat -tulnp;ss -tulnp;lsof -i;nmap localhost
[LPIC-1] Qual utilitário 'sudo' é usado para editar o arquivo /etc/sudoers de forma segura? | visudo;sudodit;nano /etc/sudoers;vipw;vigr
[LPIC-1] No arquivo 'sudoers', o que a tag 'NOPASSWD:' permite? | Executar comandos via sudo sem pedir a senha do usuário;Executar como root sem senha;Desativar o sudo;Criar um usuário sem senha;Logar sem senha
[LPIC-1] Qual comando exibe o último login de todos os usuários do sistema? | lastlog;last;who;finger;uptime
[LPIC-1] Qual comando exibe o histórico de logins e logouts do sistema, lendo o arquivo /var/log/wtmp? | last;lastlog;history;journalctl -u login;who
[LPIC-1] Qual comando 'gpg' importa a chave pública de um parceiro para o seu chaveiro? | gpg --import arquivo.asc;gpg --add-key;gpg --receive;gpg --load;gpg -i
[LPIC-1] Qual opção do 'ssh' permite especificar uma chave privada diferente da padrão (id_rsa)? | -i;-p;-k;-key;-u
[LPIC-1] Qual diretório da FHS armazena logs do sistema, como o /var/log/auth.log ou /var/log/secure? | /var/log;/etc/log;/usr/log;/run/log;/tmp
[LPIC-1] Qual comando 'find' localiza arquivos que NÃO pertencem a nenhum usuário cadastrado no /etc/passwd? | find / -nouser e find / -nogroup;find / -nouser;find / -nogroup;find / -user unknown;find / -orphans
